Gala,,Construction,,Nature,,,,,,Police Department,,
Holiday Event,Christmas; Easter; Fourth of July; Haloween; Hanukkah,Consulting,,Rehabilitation,,,,,,Other,,
Quinceanera,,Defense,Arms; Equipment; Services; Vehicles; Other,Religious,,,,,,,,
Religious,,Education,K-12. High School; College/University; Charter; Materials Producer; Other,Veteran,,,,,,,,
Sports Team,,Energy,Electrical; Geothermal; Petroleum; Solar; Water; Wind; Other,Wildlife,,,,,,,,
Vacation/Trip,Baseball; Basketball; Curling; Fencing; Football; Golf; Gymnastics; Hockey; Lacrosse; Rugby; Shooting; Soccer; Softball; Squash; Swimming; Tennis; Volleyball; Wrestling; Other,Entertainment,Amusement Parks; Animation/Art; Event Management; Movie Production; TV Production; Theater; Talent Management; Merchandise; Other,Other,,,,,,,,
Wedding,,Event Hosting/Planning,Weddings; Personal Events; Corporate Events; Trade Shows; Other,,,,,,,,,
Other,,Financial Services,Banking; Financial Advisor; Fund Management; Insurance; Mortgages; Other,,,,,,,,,
,,Fitness Gym/Studio,Equipment; Fitness Studio; Traditional Gym; Yoga Studio; Other,,,,,,,,,
,,Food/Beverage,Agriculture; Food Preparation; Retail; Wholesale; Other,,,,,,,,,
,,Gambling/Casinos,,,,,,,,,,
,,Health Care,,,,,,,,,,
,,Hospitality,,,,,,,,,,
,,Information,Analytics; Data Broker; Dissemination; Other,,,,,,,,,
,,Law,,,,,,,,,,
,,Manufacturing,Automotive; Consumer Goods; Pulp & Paper; Industrial; Ship Building; Steel/Alloys; Other,,,,,,,,,
,,Mass Media,Broadcasting; Film; Internet; Newspaper;  Publishing; Social; Other,,,,,,,,,
,,Medical,,,,,,,,,,
,,Military,,,,,,,,,,
,,Music,Label; Musician; Producer; Promotions; Venue; Other,,,,,,,,,
,,Printing,,,,,,,,,,
,,Sales,,,,,,,,,,
,,Technology,,,,,,,,,,
,,Telecommunications,Software; Hardware; Networking; Other,,,,,,,,,
,,Transportation,Carrier; Equipment; ISP; Professional Services; SaaS Provider; Other,,,,,,,,,
,,Water,Aircraft; Equipment; Rail; Road; Water; Other,,,,,,,,,
,,Other,Separation; Service; Supply,,,,,,,,,
